Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,8.06542682647705,8.128437995910645,7.729366779327393,7.813382148742676,4.653423309326172,1663396
2000-01-04,7.8553900718688965,7.865890979766846,7.477323055267334,7.529831886291504,4.4845499992370605,2735230
2000-01-05,7.603344917297363,7.7713751792907715,7.4563188552856445,7.613846778869629,4.534586429595947,3220264
2000-01-06,7.529831886291504,7.876392841339111,7.35129976272583,7.697862148284912,4.584622383117676,1444982
2000-01-07,7.729366779327393,7.813382148742676,7.687359809875488,7.760872840881348,4.622152328491211,1975841
2000-01-10,7.802879810333252,7.918400764465332,7.792377948760986,7.918400764465332,4.715969562530518,2924483
2000-01-11,7.897397041320801,7.939404010772705,7.697862148284912,7.718864917755127,4.597132205963135,2106770
2000-01-12,7.687359809875488,7.697862148284912,7.445816993713379,7.508828163146973,4.472040176391602,1446173
2000-01-13,7.571838855743408,7.687359809875488,7.571838855743408,7.624349117279053,4.540841579437256,3434511
2000-01-14,7.603344917297363,7.645351886749268,7.445816993713379,7.624349117279053,4.540841579437256,1971080
2000-01-18,7.540334224700928,7.540334224700928,7.3723039627075195,7.41431188583374,4.4157490730285645,2224606
2000-01-19,7.3723039627075195,7.435315132141113,7.2672858238220215,7.330296993255615,4.365713119506836,3265494
2000-01-20,7.31979513168335,7.330296993255615,7.109757900238037,7.172769069671631,4.271892547607422,1333693
2000-01-21,7.172769069671631,7.172769069671631,6.805203914642334,6.920723915100098,4.121780872344971,4996735
2000-01-24,6.889218807220459,6.889218807220459,6.374628067016602,6.385129928588867,3.8027989864349365,5063390
2000-01-25,6.4271368980407715,6.805203914642334,6.4271368980407715,6.773697853088379,4.034218788146973,4291503
2000-01-26,6.773697853088379,7.036244869232178,6.752695083618164,6.973234176635742,4.153054237365723,2604896
2000-01-27,6.784200191497803,7.151764869689941,6.773697853088379,6.983735084533691,4.159310340881348,4778916
2000-01-28,6.983735084533691,7.13076114654541,6.941728115081787,7.0992560386657715,4.22811222076416,4425408
2000-01-31,7.088754177093506,7.508828163146973,7.088754177093506,7.24628210067749,4.315676212310791,5118142
2000-02-01,7.235779762268066,7.2882890701293945,7.193772792816162,7.2672858238220215,4.328185558319092,3687443
2000-02-02,7.24628210067749,7.393308162689209,7.214776039123535,7.256783962249756,4.321930885314941,2435283
2000-02-03,7.277787208557129,7.382805824279785,7.24628210067749,7.31979513168335,4.3594560623168945,1046243
2000-02-04,7.3723039627075195,7.382805824279785,7.225277900695801,7.2672858238220215,4.328185558319092,1264062
2000-02-07,7.2672858238220215,7.361802101135254,7.120259761810303,7.24628210067749,4.315676212310791,2828071
2000-02-08,7.24628210067749,7.435315132141113,7.24628210067749,7.361802101135254,4.384477138519287,2866160
2000-02-09,7.382805824279785,7.403810024261475,7.29879093170166,7.330296993255615,4.365713119506836,3635666
2000-02-10,7.309292793273926,7.340798854827881,6.973234176635742,7.004738807678223,4.171818733215332,1553892
2000-02-11,7.057248115539551,7.109757900238037,6.8157057762146,6.899721145629883,4.1092753410339355,2682859
2000-02-14,6.878716945648193,6.910222053527832,6.784200191497803,6.878716945648193,4.09676456451416,1916923
2000-02-15,6.847210884094238,6.973234176635742,6.826208114624023,6.920723915100098,4.121780872344971,3010182
